srr,bioproject
SRR24069874,PRJNA952350
SRR24069875,PRJNA952350
SRR24069876,PRJNA952350
SRR24069877,PRJNA952350
SRR24069878,PRJNA952350
SRR24069879,PRJNA952350
SRR24069880,PRJNA952350
SRR24069881,PRJNA952350
SRR24069882,PRJNA952350
SRR24069883,PRJNA952350
SRR24069884,PRJNA952350
SRR24069885,PRJNA952350
SRR24069886,PRJNA952350
SRR24069887,PRJNA952350
SRR24069888,PRJNA952350
SRR24069889,PRJNA952350
SRR24069890,PRJNA952350
SRR24069891,PRJNA952350
SRR24069892,PRJNA952350
SRR24069893,PRJNA952350
SRR24069894,PRJNA952350
SRR24069895,PRJNA952350
